Age,Gender,Education Level,Job Title,Years of Experience,Salary,Salary_lpa
29,Male,Bachelor's,Junior Marketing Coordinator,2,40000,4.8
,,,,,,0
43,Male,Bachelor's,Senior Project Manager,16,140000,16.8
26,Female,Master's,Junior Data Scientist,1.5,45000,5.4
35,Male,Bachelor's,Senior Operations Analyst,7,85000,10.2
42,Female,PhD,Senior Marketing Manager,18,140000,16.8
31,Male,Bachelor's,Junior Accountant,4,50000,6
38,Female,Bachelor's,Senior Human Resources Coordinator,10,80000,9.6
46,Male,Master's,Director of Operations,20,170000,20.4
29,Female,Bachelor's,Junior Sales Representative,2,40000,4.8
37,Male,Master's,Senior Business Analyst,9,105000,12.6
44,Female,PhD,Senior UX Designer,15,145000,17.4
27,Male,Bachelor's,Junior Product Manager,2,40000,4.8
36,Female,Bachelor's,Senior Marketing Specialist,8,85000,10.2
43,Male,Bachelor's,Senior IT Project Manager,14,130000,15.6
33,Female,Master's,Senior Financial Analyst,6,95000,11.4
34,Male,Bachelor's,Senior Quality Assurance Analyst,9,100000,12
50,Female,PhD,Director of Sales and Marketing,22,180000,21.6
28,Male,Bachelor's,Junior Operations Analyst,1.5,35000,4.2
39,Female,Bachelor's,Senior Account Executive,12,95000,11.4
47,Male,Master's,Director of Business Development,19,170000,20.4
30,Female,Bachelor's,Junior Social Media Manager,3,45000,5.4
34,Male,Bachelor's,Senior Product Manager,7,95000,11.4
40,Female,Master's,Senior Human Resources Specialist,13,120000,14.4
28,Male,Bachelor's,Junior Business Analyst,2,40000,4.8
41,Female,Bachelor's,Senior Marketing Coordinator,11,90000,10.8
45,Male,PhD,Senior Data Analyst,17,155000,18.6
32,Female,Bachelor's,Junior Account Manager,5,55000,6.6
35,Male,Master's,Senior Software Developer,9,110000,13.2
49,Female,Master's,Director of Human Capital,21,180000,21.6
30,Male,Bachelor's,Junior Advertising Coordinator,3,45000,5.4
44,Male,Bachelor's,Senior Sales Manager,16,130000,15.6
27,Female,Master's,Junior UX Designer,1.5,45000,5.4
36,Male,Bachelor's,Senior Accountant,7,90000,10.8
41,Female,PhD,Senior Marketing Director,17,160000,19.2
31,Male,Bachelor's,Junior HR Generalist,4,50000,6
39,Female,Bachelor's,Senior Operations Manager,10,120000,14.4
47,Male,Master's,Director of Finance,20,170000,20.4
30,Female,Bachelor's,Junior Marketing Coordinator,2,40000,4.8
38,Male,Master's,Senior IT Consultant,9,110000,13.2
45,Female,PhD,Senior Product Designer,15,150000,18
28,Male,Bachelor's,Junior Business Development Associate,2,40000,4.8
35,Female,Bachelor's,Senior Marketing Analyst,8,85000,10.2
44,Male,Bachelor's,Senior Software Engineer,14,130000,15.6
34,Female,Master's,Senior Financial Advisor,6,100000,12
35,Male,Bachelor's,Senior Project Coordinator,9,95000,11.4
50,Female,PhD,Director of Operations,22,180000,21.6
29,Male,Bachelor's,Junior Business Operations Analyst,1.5,35000,4.2
40,Female,Bachelor's,Senior Sales Representative,12,100000,12
48,Male,Master's,Director of Marketing,19,170000,20.4
31,Female,Bachelor's,Junior Social Media Specialist,3,45000,5.4
33,Male,Bachelor's,Senior Product Development Manager,7,100000,12
42,Female,Master's,Senior Human Resources Manager,13,140000,16.8
28,Male,Bachelor's,Junior Financial Analyst,2,40000,4.8
40,Female,Bachelor's,Senior Marketing Manager,11,105000,12.6
46,Male,PhD,Senior Data Scientist,18,160000,19.2
33,Female,Bachelor's,Junior Operations Manager,5,70000,8.4
37,Male,Master's,Senior Software Architect,9,120000,14.4
51,Female,Master's,Director of Human Resources,21,190000,22.8
30,Male,Bachelor's,Junior Marketing Specialist,3,45000,5.4
43,Male,Bachelor's,Senior Project Manager,15,120000,14.4
27,Female,Master's,Junior Research Scientist,1.5,50000,6
35,Male,Bachelor's,Senior Operations Analyst,8,85000,10.2
42,Female,PhD,Senior Marketing Manager,13,140000,16.8
32,Male,Bachelor's,Junior Sales Representative,3,45000,5.4
37,Female,Bachelor's,Senior Financial Analyst,9,100000,12
45,Male,Master's,Senior Software Developer,16,140000,16.8
33,Female,Bachelor's,Junior Operations Analyst,5,70000,8.4
39,Male,Bachelor's,Senior Marketing Specialist,10,120000,14.4
44,Female,PhD,Senior HR Manager,18,160000,19.2
29,Male,Bachelor's,Junior Business Analyst,1.5,40000,4.8
38,Female,Bachelor's,Senior Product Manager,10,120000,14.4
46,Male,PhD,Senior Data Analyst,19,150000,18
34,Female,Bachelor's,Junior Marketing Analyst,6,70000,8.4
36,Male,Bachelor's,Senior Operations Manager,8,95000,11.4
49,Female,Master's,Director of Marketing,21,180000,21.6
31,Male,Bachelor's,Junior Financial Analyst,3,50000,6
41,Female,Bachelor's,Senior Project Coordinator,11,95000,11.4
47,Male,Master's,Director of Operations,20,170000,20.4
30,Female,Bachelor's,Junior Marketing Coordinator,2,40000,4.8
38,Male,Master's,Senior IT Consultant,9,110000,13.2
45,Female,PhD,Senior Product Designer,15,150000,18
28,Male,Bachelor's,Junior Business Development Associate,2,40000,4.8
35,Female,Bachelor's,Senior Marketing Analyst,8,85000,10.2
44,Male,Bachelor's,Senior Software Engineer,14,130000,15.6
34,Female,Master's,Senior Financial Advisor,6,100000,12
35,Male,Bachelor's,Senior Project Coordinator,9,95000,11.4
50,Female,PhD,Director of Operations,22,180000,21.6
29,Male,Bachelor's,Junior Business Operations Analyst,1.5,350,0.042
,,,,,,0
37,Female,Bachelor's,Senior Financial Manager,10,120000,14.4
46,Male,PhD,Senior Data Scientist,18,160000,19.2
31,Female,Bachelor's,Junior Marketing Coordinator,3,50000,6
42,Male,Bachelor's,Senior Operations Manager,12,110000,13.2
29,Female,Bachelor's,Junior Sales Representative,1.5,40000,4.8
36,Male,Bachelor's,Senior Marketing Specialist,8,95000,11.4
44,Female,Master's,Senior HR Specialist,15,140000,16.8
33,Male,Bachelor's,Junior Operations Manager,4,60000,7.2
39,Female,Bachelor's,Senior Marketing Coordinator,9,110000,13.2
45,Male,PhD,Senior Data Engineer,16,150000,18
32,Female,Bachelor's,Junior Marketing Manager,4,60000,7.2
37,Male,Bachelor's,Senior Financial Analyst,8,90000,10.8
47,Female,Master's,Director of Marketing,20,180000,21.6
30,Male,Bachelor's,Junior Business Analyst,2,40000,4.8
38,Female,Bachelor's,Senior Project Manager,9,120000,14.4
46,Male,PhD,Senior Data Analyst,17,160000,19.2
34,Female,Bachelor's,Junior Financial Analyst,5,70000,8.4
36,Male,Bachelor's,Senior Product Manager,8,95000,11.4
49,Female,Master's,Director of Operations,21,180000,21.6
31,Male,Bachelor's,Junior Operations Analyst,3,50000,6
41,Female,Bachelor's,Senior Project Coordinator,11,95000,11.4
47,Male,Master's,Director of Marketing,19,170000,20.4
29,Female,Bachelor's,Junior Business Development Associate,1.5,35000,4.2
35,Male,Bachelor's,Senior Financial Manager,9,100000,12
44,Female,PhD,Senior Product Designer,15,150000,18
33,Male,Bachelor's,Junior Business Analyst,4,60000,7.2
35,Female,Bachelor's,Senior Marketing Analyst,8,85000,10.2
44,Male,Bachelor's,Senior Software Engineer,13,130000,15.6
32,Male,Bachelor's,Junior Product Manager,4,65000,7.8
38,Female,Bachelor's,Senior Business Analyst,10,110000,13.2
49,Male,PhD,Director of Operations,21,180000,21.6
29,Female,Bachelor's,Junior Marketing Specialist,2,40000,4.8
35,Male,Bachelor's,Senior Business Development Manager,7,90000,10.8
45,Female,Master's,Senior HR Manager,14,140000,16.8
33,Male,Bachelor's,Junior Financial Analyst,4,60000,7.2
40,Female,Bachelor's,Senior Marketing Manager,12,130000,15.6
44,Male,PhD,Senior Data Scientist,16,160000,19.2
30,Female,Bachelor's,Junior Operations Coordinator,2,40000,4.8
37,Male,Bachelor's,Senior Marketing Analyst,9,100000,12
48,Female,Master's,Director of HR,20,180000,21.6
31,Male,Bachelor's,Junior Project Manager,3,55000,6.6
38,Female,Bachelor's,Senior Operations Coordinator,9,120000,14.4
45,Male,PhD,Senior Data Engineer,16,150000,18
33,Female,Bachelor's,Junior Marketing Manager,5,70000,8.4
36,Male,Bachelor's,Senior Business Analyst,8,95000,11.4
49,Female,Master's,Director of Marketing,21,180000,21.6
31,Male,Bachelor's,Junior Operations Analyst,3,50000,6
42,Female,Bachelor's,Senior Project Manager,12,120000,14.4
47,Male,Master's,Director of Marketing,19,170000,20.4
29,Female,Bachelor's,Junior Business Development Associate,1.5,35000,4.2
35,Male,Bachelor's,Senior Financial Manager,9,100000,12
44,Female,PhD,Senior Product Designer,15,150000,18
33,Male,Bachelor's,Junior Business Analyst,4,60000,7.2
35,Female,Bachelor's,Senior Marketing Analyst,8,85000,10.2
44,Male,Bachelor's,Senior Software Engineer,13,130000,15.6
34,Female,Master's,Senior Financial Advisor,6,80000,9.6
36,Male,Bachelor's,Senior Marketing Specialist,8,95000,11.4
30,Female,Bachelor's,Junior HR Coordinator,2,40000,4.8
37,Male,Bachelor's,Senior Business Development Manager,10,120000,14.4
45,Female,Master's,Senior Marketing Manager,16,160000,19.2
32,Male,Bachelor's,Junior Financial Advisor,4,65000,7.8
39,Female,Bachelor's,Senior Project Manager,12,130000,15.6
47,Male,PhD,Director of Engineering,20,180000,21.6
29,Female,Bachelor's,Junior Marketing Analyst,2,40000,4.8
36,Male,Bachelor's,Senior Operations Manager,9,100000,12
43,Female,PhD,Senior Data Scientist,15,150000,18
32,Male,Bachelor's,Junior Marketing Coordinator,3,55000,6.6
38,Female,Bachelor's,Senior Business Analyst,10,110000,13.2
48,Male,Master's,Director of Marketing,21,180000,21.6
31,Female,Bachelor's,Junior Business Development Associate,3,50000,6
40,Male,Bachelor's,Senior Financial Analyst,12,130000,15.6
45,Female,PhD,Senior UX Designer,16,160000,19.2
33,Male,Bachelor's,Junior Product Manager,4,60000,7.2
36,Female,Bachelor's,Senior Marketing Manager,8,95000,11.4
47,Male,Master's,Director of Operations,19,170000,20.4
29,Female,Bachelor's,Junior Project Manager,2,40000,4.8
34,Male,Bachelor's,Senior Operations Coordinator,7,90000,10.8
44,Female,PhD,Senior Business Analyst,15,150000,18
33,Male,Bachelor's,Junior Marketing Specialist,5,70000,8.4
35,Female,Bachelor's,Senior Financial Manager,8,90000,10.8
43,Male,Master's,Director of Marketing,18,170000,20.4
31,Female,Bachelor's,Junior Financial Analyst,3,50000,6
41,Male,Bachelor's,Senior Product Manager,14,150000,18
44,Female,PhD,Senior Data Engineer,16,160000,19.2
33,Male,Bachelor's,Junior Business Analyst,4,60000,7.2
35,Female,Bachelor's,Senior Marketing Analyst,8,85000,10.2
45,Male,Master's,Director of Engineering,19,180000,21.6
28,Female,Bachelor's,Junior Operations Manager,1,35000,4.2
36,Male,Bachelor's,Senior Business Development Manager,8,110000,13.2
44,Female,PhD,Senior Data Scientist,16,160000,19.2
31,Male,Bachelor's,Junior Marketing Coordinator,3,55000,6.6
38,Female,Bachelor's,Senior Business Analyst,10,110000,13.2
48,Male,Master's,Director of Marketing,21,180000,21.6
31,Female,Bachelor's,Junior Business Development Associate,3,50000,6
40,Male,Bachelor's,Senior Financial Analyst,12,130000,15.6
45,Female,PhD,Senior UX Designer,16,160000,19.2
33,Male,Bachelor's,Junior Product Manager,4,60000,7.2
36,Female,Bachelor's,Senior Marketing Manager,8,95000,11.4
47,Male,Master's,Director of Operations,19,170000,20.4
29,Female,Bachelor's,Junior Project Manager,2,40000,4.8
34,Male,Bachelor's,Senior Operations Coordinator,7,90000,10.8
44,Female,PhD,Senior Business Analyst,15,150000,18
33,Male,Bachelor's,Junior Marketing Specialist,5,70000,8.4
35,Female,Bachelor's,Senior Financial Manager,8,90000,10.8
43,Male,Master's,Director of Marketing,18,170000,20.4
31,Female,Bachelor's,Junior Financial Analyst,3,50000,6
41,Male,Bachelor's,Senior Product Manager,14,150000,18
44,Female,PhD,Senior Data Engineer,16,160000,19.2
33,Male,Bachelor's,Junior Business Analyst,4,60000,7.2
35,Female,Bachelor's,Senior Marketing Analyst,8,85000,10.2
43,Male,Master's,Director of Operations,19,170000,20.4
29,Female,Bachelor's,Junior Project Manager,2,40000,4.8
34,Male,Bachelor's,Senior Operations Coordinator,7,90000,10.8
44,Female,PhD,Senior Business Analyst,15,150000,18
31,Male,Master's,Data Scientist,6,160000,19.2
28,Female,Bachelor's,Software Engineer,3,125000,15
26,Male,Master's,Product Manager,2,120000,14.4
27,Female,Bachelor's,Data Analyst,2,110000,13.2
30,Male,PhD,Data Scientist,5,180000,21.6
29,Female,Bachelor's,Software Engineer,4,140000,16.8
32,Male,Bachelor's,Product Manager,7,170000,20.4
25,Female,Master's,Data Analyst,1,100000,12
33,Male,PhD,Data Scientist,8,190000,22.8
31,Female,Bachelor's,Software Engineer,6,155000,18.6
28,Male,Master's,Product Manager,3,130000,15.6
30,Female,Bachelor's,Data Analyst,5,145000,17.4
27,Male,PhD,Data Scientist,2,115000,13.8
29,Female,Bachelor's,Software Engineer,4,140000,16.8
34,Male,Bachelor's,Product Manager,9,185000,22.2
25,Female,Master's,Data Analyst,1,100000,12
33,Male,PhD,Data Scientist,8,190000,22.8
31,Female,Bachelor's,Software Engineer,6,155000,18.6
28,Male,Master's,Product Manager,3,130000,15.6
30,Female,Bachelor's,Data Analyst,5,145000,17.4
28,Male,Bachelor's,Software Engineer,3,125000,15
26,Female,Master's,Product Manager,2,120000,14.4
27,Male,Bachelor's,Data Analyst,2,110000,13.2
30,Female,PhD,Data Scientist,5,180000,21.6
29,Male,Bachelor's,Software Engineer,4,140000,16.8
32,Male,Bachelor's,Product Manager,7,170000,20.4
25,Female,Master's,Data Analyst,1,100000,12
33,Male,PhD,Data Scientist,8,190000,22.8
31,Female,Bachelor's,Software Engineer,6,155000,18.6
28,Male,Master's,Product Manager,3,130000,15.6
30,Female,Bachelor's,Data Analyst,5,145000,17.4
27,Male,PhD,Data Scientist,2,115000,13.8
29,Female,Bachelor's,Software Engineer,4,140000,16.8
34,Male,Bachelor's,Product Manager,9,185000,22.2
25,Female,Master's,Data Analyst,1,100000,12
33,Male,PhD,Data Scientist,8,190000,22.8
31,Female,Bachelor's,Software Engineer,6,155000,18.6
28,Male,Master's,Product Manager,3,130000,15.6
30,Female,Bachelor's,Data Analyst,5,145000,17.4
28,Male,Bachelor's,Software Engineer,3,125000,15
26,Female,Master's,Product Manager,2,120000,14.4
27,Male,Bachelor's,Data Analyst,2,110000,13.2
30,Female,PhD,Data Scientist,5,180000,21.6
29,Male,Bachelor's,Software Engineer,4,140000,16.8
32,Male,Bachelor's,Product Manager,7,170000,20.4
25,Female,Master's,Data Analyst,1,100000,12
33,Male,PhD,Data Scientist,8,190000,22.8
31,Female,Bachelor's,Software Engineer,6,155000,18.6
28,Male,Master's,Product Manager,3,130000,15.6
30,Female,Bachelor's,Data Analyst,5,145000,17.4
27,Male,PhD,Data Scientist,2,115000,13.8
29,Female,Bachelor's,Software Engineer,4,140000,16.8
34,Male,Bachelor's,Product Manager,9,185000,22.2
25,Female,Master's,Data Analyst,1,100000,12
33,Male,PhD,Data Scientist,8,190000,22.8
31,Female,Bachelor's,Software Engineer,6,155000,18.6
28,Male,Master's,Product Manager,3,130000,15.6
30,Female,Bachelor's,Data Analyst,5,145000,17.4
28,Male,Bachelor's,Software Engineer,3,125000,15
26,Female,Master's,Product Manager,2,120000,14.4
27,Male,Bachelor's,Data Analyst,2,110000,13.2
30,Female,PhD,Data Scientist,5,180000,21.6
29,Male,Bachelor's,Software Engineer,4,140000,16.8
32,Male,Bachelor's,Product Manager,7,170000,20.4
25,Female,Master's,Data Analyst,1,100000,12
33,Male,PhD,Data Scientist,8,190000,22.8
31,Female,Bachelor's,Software Engineer,6,155000,18.6
28,Male,Master's,Product Manager,3,130000,15.6
30,Female,Bachelor's,Data Analyst,5,145000,17.4
27,Male,PhD,Data Scientist,2,115000,13.8
29,Female,Bachelor's,Software Engineer,4,140000,16.8
34,Male,Bachelor's,Product Manager,9,185000,22.2
25,Female,Master's,Data Analyst,1,100000,12
33,Male,PhD,Data Scientist,8,190000,22.8
31,Female,Bachelor's,Software Engineer,6,155000,18.6
28,Male,Master's,Product Manager,3,130000,15.6
30,Female,Bachelor's,Data Analyst,5,145000,17.4
27,Male,PhD,Data Scientist,2,115000,13.8
29,Female,Bachelor's,Software Engineer,4,140000,16.8
34,Male,Bachelor's,Product Manager,9,185000,22.2
25,Female,Master's,Data Analyst,1,100000,12
33,Male,PhD,Data Scientist,8,190000,22.8
31,Female,Bachelor's,Software Engineer,6,155000,18.6
28,Male,Master's,Product Manager,3,130000,15.6
30,Female,Bachelor's,Data Analyst,5,145000,17.4
28,Male,Bachelor's,Software Engineer,3,125000,15
26,Female,Master's,Product Manager,2,120000,14.4
27,Male,Bachelor's,Data Analyst,2,110000,13.2
30,Female,PhD,Data Scientist,5,180000,21.6
29,Male,Bachelor's,Software Engineer,4,140000,16.8
32,Male,Bachelor's,Product Manager,7,170000,20.4
25,Female,Master's,Data Analyst,1,100000,12
33,Male,PhD,Data Scientist,8,190000,22.8
31,Female,Bachelor's,Software Engineer,6,155000,18.6
28,Male,Master's,Product Manager,3,130000,15.6
30,Female,Bachelor's,Data Analyst,5,145000,17.4
27,Male,PhD,Data Scientist,2,115000,13.8
29,Female,Bachelor's,Software Engineer,4,140000,16.8
34,Male,Bachelor's,Product Manager,9,185000,22.2
25,Female,Master's,Data Analyst,1,100000,12
33,Male,PhD,Data Scientist,8,190000,22.8
31,Female,Bachelor's,Software Engineer,6,155000,18.6
28,Male,Master's,Product Manager,3,130000,15.6
30,Female,Bachelor's,Data Analyst,5,145000,17.4
27,Male,PhD,Data Scientist,2,115000,13.8
29,Female,Bachelor's,Software Engineer,4,140000,16.8
34,Male,Bachelor's,Product Manager,9,185000,22.2
25,Female,Master's,Data Analyst,1,100000,12
33,Male,PhD,Data Scientist,8,190000,22.8
31,Female,Bachelor's,Software Engineer,6,155000,18.6
28,Male,Master's,Product Manager,3,130000,15.6
30,Female,Bachelor's,Data Analyst,5,145000,17.4
27,Male,PhD,Data Scientist,2,115000,13.8
29,Female,Bachelor's,Software Engineer,4,140000,16.8
34,Male,Bachelor's,Product Manager,9,185000,22.2
25,Female,Master's,Data Analyst,1,100000,12
33,Male,PhD,Data Scientist,8,190000,22.8
31,Female,Bachelor's,Software Engineer,6,155000,18.6
28,Male,Master's,Product Manager,3,130000,15.6
